index,resist,a,b,m,n,ip,resError,phaseError,K,app,irecip,reciprocalErrRel,recipError,recipMean,reci_IP_err
27.0,-143.6434776,1 72,1 65,1 71,1 27,,,,7.502965695025903,-1077.7520847470219,0,,,-143.6434776,
28.0,-214.893503,1 72,1 65,1 71,1 28,,,,7.501118807202419,-1611.9416968989094,0,,,-214.893503,
29.0,-299.5144981,1 72,1 65,1 71,1 29,,,,7.499129418283731,-2246.097983904197,0,,,-299.5144981,
30.0,-396.6366294,1 72,1 65,1 71,1 30,,,,7.496982468793824,-2973.577857093273,0,,,-396.6366294,
31.0,-495.9319793,1 72,1 65,1 71,1 31,,,,7.494660854142906,-3716.84199157732,0,,,-495.9319793,
32.0,-561.0708306,1 72,1 65,1 71,1 32,,,,7.492145081731756,-4203.624063982941,0,,,-561.0708306,
33.0,60.74521577,1 72,1 65,1 71,1 33,,,,7.489412858987701,454.9460001098205,0,,,60.74521577,
34.0,14.66388975,1 72,1 65,1 71,1 34,,,,7.486438595944928,109.78031019108121,0,,,14.66388975,
35.0,-47.22925783,1 72,1 65,1 71,1 35,,,,7.48319280146925,-353.42564221219124,0,,,-47.22925783,
36.0,-120.3254554,1 72,1 65,1 71,1 36,,,,7.47964134628904,-899.9912512208978,0,,,-120.3254554,
37.0,-194.6990443,1 72,1 65,1 71,1 37,,,,7.475744558117355,-1455.5203208963746,0,,,-194.6990443,
38.0,-264.3713115,1 72,1 65,1 71,1 38,,,,7.471456103615104,-1975.238648927405,0,,,-264.3713115,
39.0,-344.7869136,1 72,1 65,1 71,1 39,,,,7.466721597728649,-2574.427894391322,0,,,-344.7869136,
40.0,-404.6699031,1 72,1 65,1 71,1 40,,,,7.461476861569028,-3019.435118554031,0,,,-404.6699031,
41.0,184.2618194,1 72,1 65,1 71,1 41,,,,7.455645723351854,1373.7908457866417,0,,,184.2618194,
42.0,133.1643719,1 72,1 65,1 71,1 42,,,,7.449137219852086,991.9596790785153,0,,,133.1643719,
43.0,54.03522087,1 72,1 65,1 71,1 43,,,,7.441842003676811,402.1215763483199,0,,,54.03522087,
44.0,-24.81425262,1 72,1 65,1 71,1 44,,,,7.433627687367397,-184.45991531736098,0,,,-24.81425262,
45.0,-99.66208966,1 72,1 65,1 71,1 45,,,,7.424332748089664,-739.9245160057864,0,,,-99.66208966,
46.0,-169.3034196,1 72,1 65,1 71,1 46,,,,7.413758459586104,-1255.174659296356,0,,,-169.3034196,
47.0,-226.0718565,1 72,1 65,1 71,1 47,,,,7.4016580843738575,-1673.3065843126317,0,,,-226.0718565,
48.0,-274.9504367,1 72,1 65,1 71,1 48,,,,7.387722205559858,-2031.2574466369701,0,,,-274.9504367,
49.0,344.2961398,1 72,1 65,1 71,1 49,,,,7.371558532546507,2537.999147065515,0,,,344.2961398,
50.0,274.4156925,1 72,1 65,1 71,1 50,,,,7.352663657337813,2017.6862892479385,0,,,274.4156925,
51.0,170.1796729,1 72,1 65,1 71,1 51,,,,7.330382858376184,1247.482157070226,0,,,170.1796729,
52.0,68.39502145,1 72,1 65,1 71,1 52,,,,7.303851772876419,499.54709867350317,0,,,68.39502145,
53.0,-11.34577483,1 72,1 65,1 71,1 53,,,,7.271909898664698,-82.50545229429778,0,,,-11.34577483,
54.0,-81.4059493,1 72,1 65,1 71,1 54,,,,7.232969132683476,-588.8067185036961,0,,,-81.4059493,
55.0,-139.7740022,1 72,1 65,1 71,1 55,,,,7.184808310900424,-1004.2494126543743,0,,,-139.7740022,
56.0,-178.4022798,1 72,1 65,1 71,1 56,,,,7.1242416081406335,-1270.9809447383072,0,,,-178.4022798,
57.0,569.4969033,1 72,1 65,1 71,1 57,,,,7.0465629613229,4012.995785381869,0,,,569.4969033,
58.0,437.765341,1 72,1 65,1 71,1 58,,,,6.944573234251121,3040.0934699914146,0,,,437.765341,
59.0,292.7231675,1 72,1 65,1 71,1 59,,,,6.806784082777885,1992.5033971993248,0,,,292.7231675,
60.0,152.8518381,1 72,1 65,1 71,1 60,,,,6.613879270715354,1010.9436035003295,0,,,152.8518381,
61.0,66.36293662,1 72,1 65,1 71,1 61,,,,6.331148553799277,420.1536102075861,0,,,66.36293662,
62.0,-10.25280066,1 72,1 65,1 71,1 62,,,,5.8904862254808625,-60.3939810603311,0,,,-10.25280066,
63.0,-59.12474576,1 72,1 65,1 71,1 63,,,,5.140787978601479,-303.9477822408768,0,,,-59.12474576,
64.0,-100.8003713,1 72,1 65,1 71,1 64,,,,3.677962131031953,-370.7399484353601,0,,,-100.8003713,
65.0,592.8804162,1 72,1 65,1 71,1 66,,,,3.7699111843077517,2235.1065119894147,0,,,592.8804162,
66.0,376.602116,1 72,1 65,1 71,1 67,,,,5.543987035746694,2087.877248738773,0,,,376.602116,
67.0,220.65887,1 72,1 65,1 71,1 68,,,,6.854383971468639,1512.4806216903821,0,,,220.65887,
68.0,118.7105808,1 72,1 65,1 71,1 69,,,,8.377580409572781,994.5074361190867,0,,,118.7105808,
69.0,42.52632791,1 72,1 65,1 71,1 70,,,,11.780972450961722,501.00149754827453,0,,,42.52632791,
