1372
1	1 1	1 3	1 2	1 4	621.4899945707227
2	1 1	1 3	1 4	1 6	-259.74068300526375
3	1 1	1 3	1 6	1 8	-32.62654799079245
4	1 1	1 3	1 8	1 10	-241.7086661121104
5	1 1	1 3	1 10	1 12	305.0379176607728
6	1 1	1 3	1 14	1 16	-17.33433622926207
7	1 1	1 3	1 16	1 18	-190.6768287180091
8	1 1	1 3	1 18	1 20	179.58282663566865
9	1 1	1 3	1 20	1 22	11.702009456264776
10	1 1	1 3	1 5	1 7	-71.47085078121151
11	1 1	1 3	1 9	1 11	584.1687749979735
12	1 1	1 3	1 11	1 13	13.895602499050774
13	1 1	1 3	1 13	1 15	-30.08264081249575
14	1 1	1 3	1 15	1 17	-332.10245739073923
15	1 1	1 3	1 17	1 19	256.54116602294863
16	1 1	1 3	1 19	1 21	72.44739211217072
17	1 1	1 3	1 21	1 23	-6.4338943127949495
18	1 1	1 3	1 23	1 25	-216.79828106412498
19	1 1	1 3	1 22	1 24	-8.03469692050999
20	1 1	1 3	1 24	1 26	-141.19475583620584
21	1 1	1 3	1 26	1 28	102.5598347375909
22	1 1	1 3	1 28	1 30	28.730133659235307
23	1 1	1 3	1 34	1 36	61.88489789196311
24	1 1	1 3	1 25	1 27	136.94872676200077
25	1 1	1 3	1 27	1 29	61.121643140161794
26	1 1	1 3	1 31	1 33	-145.25292032698215
27	1 1	1 3	1 33	1 35	76.312725978846
28	1 1	1 3	1 41	1 43	42.49929833536628
29	1 1	1 3	1 46	1 48	6.573300706687255
30	1 1	1 3	1 54	1 56	7.220596308301092
31	1 1	1 3	1 62	1 64	6.6070349221661075
32	1 2	1 4	1 3	1 5	393.8831090547312
33	1 2	1 4	1 5	1 7	-162.63706298564898
34	1 2	1 4	1 7	1 9	-539.740601678775
35	1 2	1 4	1 9	1 11	347.7823143011636
36	1 2	1 4	1 11	1 13	207.14843490103127
37	1 2	1 4	1 13	1 15	-31.759094097142572
38	1 2	1 4	1 15	1 17	-353.07455437060025
39	1 2	1 4	1 17	1 19	181.7999556965425
40	1 2	1 4	1 19	1 21	143.321574958256
41	1 2	1 4	1 21	1 23	6.910906535692435
42	1 2	1 4	1 6	1 8	-66.32861880523073
43	1 2	1 4	1 10	1 12	445.24261956525754
44	1 2	1 4	1 14	1 16	-26.202176938492784
45	1 2	1 4	1 16	1 18	-275.853580433262
46	1 2	1 4	1 18	1 20	210.21430735442476
47	1 2	1 4	1 20	1 22	57.66948186039916
48	1 2	1 4	1 22	1 24	-6.390791656065353
49	1 2	1 4	1 23	1 25	-241.8571530302898
50	1 2	1 4	1 25	1 27	111.20286809526223
51	1 2	1 4	1 27	1 29	90.43696087016318
52	1 2	1 4	1 29	1 31	21.490750211456124
53	1 2	1 4	1 31	1 33	-164.7978546829143
54	1 2	1 4	1 33	1 35	67.78142419272805
55	1 2	1 4	1 37	1 39	22.76982892924837
56	1 2	1 4	1 41	1 43	40.94173326850009
57	1 2	1 4	1 26	1 28	111.8489017096386
58	1 2	1 4	1 28	1 30	55.33475091610586
59	1 2	1 4	1 30	1 32	5.90020889900014
60	1 2	1 4	1 32	1 34	-132.44353074108616
61	1 2	1 4	1 34	1 36	66.56992574201209
62	1 2	1 4	1 38	1 40	11.871737653180006
63	1 2	1 4	1 46	1 48	10.383331747537156
64	1 2	1 4	1 54	1 56	10.21442370417175
65	1 2	1 4	1 62	1 64	8.795748792270532
66	1 2	1 4	1 71	1 1	-739.4149469776146
67	1 3	1 5	1 4	1 6	521.7647170088107
68	1 3	1 5	1 6	1 8	-183.28597167668056
69	1 3	1 5	1 8	1 10	-472.99659580490174
70	1 3	1 5	1 10	1 12	254.43562261350075
71	1 3	1 5	1 14	1 16	-32.32225687076385
72	1 3	1 5	1 16	1 18	-326.1687952600732
73	1 3	1 5	1 18	1 20	149.25130978472828
74	1 3	1 5	1 20	1 22	141.148103376152
75	1 3	1 5	1 22	1 24	9.039809357489062
76	1 3	1 5	1 11	1 13	366.28517464912534
77	1 3	1 5	1 15	1 17	-354.35864890177413
78	1 3	1 5	1 17	1 19	71.74480663435156
79	1 3	1 5	1 19	1 21	186.87246681241004
80	1 3	1 5	1 21	1 23	53.141071985391186
81	1 3	1 5	1 23	1 25	-247.4607512727988
82	1 3	1 5	1 25	1 27	63.67172726882775
83	1 3	1 5	1 24	1 26	-225.8319367760468
84	1 3	1 5	1 26	1 28	89.9784214564398
85	1 3	1 5	1 30	1 32	20.036576948186053
86	1 3	1 5	1 38	1 40	21.871633756729125
87	1 3	1 5	1 29	1 31	48.525254549365
88	1 3	1 5	1 33	1 35	48.17018710191999
89	1 3	1 5	1 37	1 39	37.516400772642726
90	1 3	1 5	1 46	1 48	16.212180212599385
91	1 3	1 5	1 54	1 56	13.937874667728504
92	1 3	1 5	1 62	1 64	11.106465584277572
93	1 4	1 6	1 5	1 7	274.3133207556159
94	1 4	1 6	1 7	1 9	-503.5383576014467
95	1 4	1 6	1 9	1 11	-38.95890898787765
96	1 4	1 6	1 11	1 13	222.68529494367067
97	1 4	1 6	1 13	1 15	187.73816734247288
98	1 4	1 6	1 15	1 17	-318.67428308125983
99	1 4	1 6	1 19	1 21	131.7405281089574
100	1 4	1 6	1 21	1 23	107.92983767830555
101	1 4	1 6	1 23	1 25	-215.26923076923075
102	1 4	1 6	1 12	1 14	325.2187083632665
103	1 4	1 6	1 14	1 16	27.702612001656775
104	1 4	1 6	1 16	1 18	-317.30881560207865
105	1 4	1 6	1 18	1 20	59.4666490926948
106	1 4	1 6	1 20	1 22	158.7476753199717
107	1 4	1 6	1 24	1 26	-220.91214355492556
108	1 4	1 6	1 26	1 28	50.79374748980401
109	1 4	1 6	1 25	1 27	27.238001677045894
110	1 4	1 6	1 29	1 31	69.95181686046512
111	1 4	1 6	1 31	1 33	-147.77106369611442
112	1 4	1 6	1 37	1 39	44.943915211032746
113	1 4	1 6	1 28	1 30	91.95513246672579
114	1 4	1 6	1 46	1 48	19.7810052233923
115	1 4	1 6	1 54	1 56	15.235803275992506
116	1 4	1 6	1 62	1 64	11.314848188975354
117	1 5	1 7	1 6	1 8	326.0363475063972
118	1 5	1 7	1 8	1 10	-412.466281243509
119	1 5	1 7	1 10	1 12	-40.09456441035809
120	1 5	1 7	1 18	1 20	4.021704148755085
121	1 5	1 7	1 20	1 22	96.30423782809595
122	1 5	1 7	1 24	1 26	-184.8919403828072
123	1 5	1 7	1 9	1 11	-30.094013582899755
124	1 5	1 7	1 11	1 13	9.918095246436497
125	1 5	1 7	1 15	1 17	-241.40307763413838
126	1 5	1 7	1 17	1 19	-6.62544710790672
127	1 5	1 7	1 19	1 21	42.295002795732415
128	1 5	1 7	1 23	1 25	-145.38010691956683
129	1 5	1 7	1 25	1 27	5.721169338597733
130	1 5	1 7	1 27	1 29	39.24040996265187
131	1 5	1 7	1 26	1 28	16.719411333410633
132	1 5	1 7	1 28	1 30	63.00574999147584
133	1 5	1 7	1 32	1 34	-118.4496086420239
134	1 5	1 7	1 34	1 36	17.942265510460565
135	1 5	1 7	1 36	1 38	41.685746115657665
136	1 5	1 7	1 40	1 42	-81.28651653497437
137	1 5	1 7	1 42	1 44	16.933549027038914
138	1 5	1 7	1 44	1 46	29.35118380746653
139	1 5	1 7	1 31	1 33	-101.07067147034253
140	1 5	1 7	1 35	1 37	30.755413810518473
141	1 5	1 7	1 39	1 41	-70.84083583539386
142	1 5	1 7	1 41	1 43	10.699565714039398
143	1 5	1 7	1 43	1 45	24.500632591093122
144	1 5	1 7	1 45	1 47	26.588191153238547
145	1 5	1 7	1 47	1 49	-52.504888838475495
146	1 5	1 7	1 48	1 50	-58.420982249942554
147	1 5	1 7	1 52	1 54	21.515431256806295
148	1 5	1 7	1 56	1 58	-45.09078185809799
149	1 5	1 7	1 53	1 55	19.799687389753473
150	1 5	1 7	1 55	1 57	-42.40734198079804
151	1 5	1 7	1 61	1 63	15.256934025499795
152	1 5	1 7	1 70	1 72	6.136616892710592
153	1 6	1 8	1 7	1 9	-108.4735449546641
154	1 6	1 8	1 9	1 11	-17.766041913136267
155	1 6	1 8	1 11	1 13	-26.57092608884129
156	1 6	1 8	1 19	1 21	7.349504381663303
157	1 6	1 8	1 10	1 12	-28.565439523709813
158	1 6	1 8	1 20	1 22	39.21379309118335
159	1 6	1 8	1 26	1 28	5.413031396233264
160	1 6	1 8	1 28	1 30	37.79494226532897
161	1 6	1 8	1 27	1 29	17.810812086638272
162	1 6	1 8	1 33	1 35	5.137317182976085
163	1 6	1 8	1 35	1 37	18.27285588060866
164	1 6	1 8	1 41	1 43	6.070659551462377
165	1 6	1 8	1 43	1 45	16.467895443181554
166	1 6	1 8	1 34	1 36	9.222912048357976
167	1 6	1 8	1 36	1 38	28.99918932854633
168	1 6	1 8	1 42	1 44	10.389126586842966
169	1 6	1 8	1 44	1 46	21.66482368524808
170	1 6	1 8	1 47	1 49	-38.54441606851766
171	1 6	1 8	1 49	1 51	5.592628539654009
172	1 6	1 8	1 51	1 53	14.198762270949231
173	1 6	1 8	1 55	1 57	-31.624088679317182
174	1 6	1 8	1 57	1 59	4.92253524385869
175	1 6	1 8	1 59	1 61	11.577832617484258
176	1 6	1 8	1 61	1 63	12.201460902107893
177	1 6	1 8	1 63	1 65	-26.013519578309822
178	1 6	1 8	1 65	1 67	5.030359149155377
179	1 6	1 8	1 50	1 52	9.825528366989676
180	1 6	1 8	1 52	1 54	16.26130713834645
181	1 6	1 8	1 58	1 60	9.375363250499268
